[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /events                   --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).CreateEvent-fm (4 handlers)
[GIN-debug] GET    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEvent-fm (4 handlers)
[GIN-debug] PUT    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UpdateEvent-fm (4 handlers)
[GIN-debug] DELETE /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).DeleteEvent-fm (4 handlers)
[GIN-debug] GET    /events/nearby            --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventsByLocation-fm (4 handlers)
[GIN-debug] GET    /events/upcoming          --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUpcomingEvents-fm (4 handlers)
[GIN-debug] POST   /events/:id/register      --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).RegisterForEvent-fm (5 handlers)
[GIN-debug] DELETE /events/:id/unregister    --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UnregisterFromEvent-fm (5 handlers)
[GIN-debug] GET    /events/:id/attendees     --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventAttendees-fm (5 handlers)
[GIN-debug] GET    /events/user              --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUserEvents-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8082
[GIN] 2026/03/14 - 21:16:37 | 400 |   39.6ms |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271"
[GIN] 2026/03/14 - 21:16:37 | 404 | 15.024µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:37 | 400 |  12.06ms |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271%27+--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  4.147µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 92.534µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271%27+%2F%2A"
[GIN] 2026/03/14 - 21:16:38 | 404 |  3.764µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 77.873µs |       127.0.0.1 | GET      "/events/search?q=%27%3B+DROP+TABLE+users%3B+--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  5.538µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 56.295µs |       127.0.0.1 | GET      "/events/search?q=%27+UNION+SELECT+NULL--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  6.664µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 75.336µs |       127.0.0.1 | GET      "/events/search?q=%27+UNION+SELECT+NULL%2C+NULL--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  4.458µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 59.262µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+1%3D1--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  3.491µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 33.822µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%27a%27%3D%27a"
[GIN] 2026/03/14 - 21:16:38 | 404 |  4.471µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 26.078µs |       127.0.0.1 | GET      "/events/search?q=admin%27--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  2.847µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 140.024µs |       127.0.0.1 | GET      "/events/search?q=1%27+ORDER+BY+1--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  1.647µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 20.639µs |       127.0.0.1 | GET      "/events/search?q=1%27+ORDER+BY+10--"
[GIN] 2026/03/14 - 21:16:38 | 404 | 34.004µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 18.687µs |       127.0.0.1 | GET      "/events/search?q=1%27+UNION+SELECT+NULL%2C+version%28%29--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  2.585µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 92.009µs |       127.0.0.1 | GET      "/events/search?q=1%27%3B+WAITFOR+DELAY+%270%3A0%3A5%27--"
[GIN] 2026/03/14 - 21:16:38 | 404 |  2.374µs |       127.0.0.1 | POST     "/events/search"
