[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /messages                 --> github.com/meetup/backend/message-service/internal/handlers.(*MessageHandler).SendMessage-fm (4 handlers)
[GIN-debug] GET    /messages/group/:group_id --> github.com/meetup/backend/message-service/internal/handlers.(*MessageHandler).GetMessagesByGroup-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8083
[GIN] 2026/03/16 - 11:37:59 | 404 |  7.158µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:39:46 | 404 |  2.638µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:39:51 | 404 |  3.025µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:41:01 | 404 |   7.35µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:41:11 | 401 | 174.496µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 401 | 62.246µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 57.949µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 42.376µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 65.955µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 31.459µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 44.253µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 45.269µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 |  36.07µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 400 | 46.165µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 401 | 41.342µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:11 | 200 |   2.16ms |       127.0.0.1 | GET      "/messages/group/1"
[GIN] 2026/03/16 - 11:41:11 | 400 | 24.477µs |       127.0.0.1 | GET      "/messages/group/abc"
[GIN] 2026/03/16 - 11:41:12 | 500 | 26.458µs |       127.0.0.1 | GET      "/messages/group/0"
[GIN] 2026/03/16 - 11:41:12 | 400 | 23.045µs |       127.0.0.1 | GET      "/messages/group/-1"
[GIN] 2026/03/16 - 11:41:12 | 200 | 311.591µs |       127.0.0.1 | GET      "/messages/group/1?limit=10"
[GIN] 2026/03/16 - 11:41:12 | 200 | 400.636µs |       127.0.0.1 | GET      "/messages/group/1?limit=0"
[GIN] 2026/03/16 - 11:41:12 | 200 | 444.653µs |       127.0.0.1 | GET      "/messages/group/1?limit=-5"
[GIN] 2026/03/16 - 11:41:12 | 200 | 322.459µs |       127.0.0.1 | GET      "/messages/group/1?limit=abc"
[GIN] 2026/03/16 - 11:41:12 | 404 |  2.478µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/03/16 - 11:41:12 | 404 |  2.716µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:41:12 | 404 |  2.689µs |       127.0.0.1 | GET      "/invalid"
[GIN] 2026/03/16 - 11:41:12 | 404 |  3.263µs |       127.0.0.1 | GET      "/messages"
[GIN] 2026/03/16 - 11:41:12 | 404 |  2.457µs |       127.0.0.1 | DELETE   "/messages/group/1"
[GIN] 2026/03/16 - 11:41:12 | 400 | 58.809µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:12 | 400 | 56.723µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:12 | 401 | 59.434µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:12 | 401 | 54.633µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:12 | 401 | 47.856µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:12 | 401 | 52.522µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 400 | 39.841µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 400 | 60.966µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 400 | 45.078µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 400 | 77.229µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 42.208µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 39.396µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 44.298µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 44.458µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 59.772µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 40.924µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 81.442µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 41.725µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 58.078µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 401 | 40.027µs |       127.0.0.1 | POST     "/messages"
[GIN] 2026/03/16 - 11:41:13 | 400 | 37.563µs |       127.0.0.1 | POST     "/messages"
