[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /register                 --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).Register-fm (5 handlers)
[GIN-debug] POST   /login                    --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).Login-fm (5 handlers)
[GIN-debug] GET    /profile                  --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).GetProfile-fm (5 handlers)
[GIN-debug] PUT    /profile                  --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).UpdateProfile-fm (5 handlers)
[GIN-debug] PUT    /profile/avatar           --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).UpdateAvatar-fm (5 handlers)
[GIN-debug] GET    /users/search             --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).SearchUsers-fm (5 handlers)
[GIN-debug] GET    /users/suggestions        --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).GetFriendSuggestions-fm (5 handlers)
[GIN-debug] POST   /friends/request          --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).SendFriendRequest-fm (5 handlers)
[GIN-debug] PUT    /friends/request/:id/accept --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).AcceptFriendRequest-fm (5 handlers)
[GIN-debug] PUT    /friends/request/:id/reject --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).RejectFriendRequest-fm (5 handlers)
[GIN-debug] GET    /friends                  --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).GetFriends-fm (5 handlers)
[GIN-debug] DELETE /friends/:id              --> github.com/meetup/backend/user-service/internal/handlers.(*UserHandler).RemoveFriend-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8081
[GIN] 2026/03/16 - 11:37:58 | 404 |  3.766µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:38:36 | 404 |  5.087µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:38:45 | 400 |   1.35ms |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:38:52 | 404 |  4.619µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:39:46 | 404 |  3.012µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:39:46 | 400 | 58.788µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 81.798µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 87.683µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 73.831µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 56.695µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 57.122µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 60.814µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:46 | 400 | 94.253µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 400 | 68.717µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 400 | 84.873µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 |   27.3µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 32.175µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 30.636µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 42.246µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 27.011µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 27.279µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:47 | 429 | 32.288µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:47 | 429 | 34.514µs |       127.0.0.1 | POST     "/login"
